teryt,powiat_miasto,zarazenia,zgony,ludnosc,zar_10k,zgon_100k
201,bolesawiecki,34,1,89762,3.7877943896080746,1.1140571734141396
202,dzieroniowski,10,0,99935,1.0006504227748036,0.0
203,gogowski,27,2,88447,3.0526756136443294,2.261241195292096
204,growski,49,0,34552,14.181523500810373,0.0
205,jaworski,32,0,49734,6.4342301041541,0.0
206,jeleniogrski,16,0,63333,2.5263290859425576,0.0
207,kamiennogrski,1,0,42824,0.23351391742947877,0.0
208,kodzki,29,0,156283,1.8556080955702154,0.0
209,legnicki,18,0,55110,3.2661948829613503,0.0
210,lubaski,11,0,53852,2.042635371016861,0.0
211,lubiski,32,0,105896,3.0218327415577546,0.0
212,lwwecki,10,0,45599,2.193030548915546,0.0
213,milicki,6,0,36800,1.6304347826086958,0.0
214,olenicki,42,0,107268,3.9154267815191854,0.0
215,oawski,43,0,76733,5.603847106199418,0.0
216,polkowicki,36,1,62997,5.714557836087432,1.5873771766909537
217,strzeliski,11,0,43221,2.545059114782166,0.0
218,redzki,16,0,55508,2.882467392087627,0.0
219,widnicki,45,0,156015,2.8843380444188056,0.0
220,trzebnicki,34,0,85226,3.98939290826743,0.0
221,wabrzyski,11,0,55107,1.9961166457981745,0.0
222,woowski,6,0,46623,1.2869184737146901,0.0
223,wrocawski,94,0,156322,6.013229104028864,0.0
224,zbkowicki,21,0,64080,3.2771535580524347,0.0
225,zgorzelecki,61,0,88386,6.901545493630214,0.0
226,zotoryjski,33,0,43038,7.66764254844556,0.0
261,Jelenia Gra,36,0,78335,4.595646901129763,0.0
262,Legnica,55,1,98436,5.587386728432688,1.0158884960786705
264,Wrocaw,449,4,641928,6.994553906357099,0.6231228424371581
265,Wabrzych,23,0,109971,2.091460475943658,0.0
401,aleksandrowski,32,0,54891,5.829735293581826,0.0
402,brodnicki,15,0,79023,1.8981815420826849,0.0
403,bydgoski,51,0,120432,4.234754882423276,0.0
404,chemiski,9,0,51657,1.7422614553690692,0.0
405,golubsko-dobrzyski,15,0,44855,3.3441087950061306,0.0
406,grudzidzki,9,0,40305,2.232973576479345,0.0
407,inowrocawski,27,0,158496,1.7035130224106603,0.0
408,lipnowski,22,3,65450,3.361344537815126,4.583651642475171
409,mogileski,17,1,45482,3.737742403588233,2.198672002110725
410,nakielski,35,0,86119,4.06414380101952,0.0
411,radziejowski,33,5,40025,8.244846970643348,12.492192379762647
412,rypiski,5,1,43390,1.1523392486748099,2.3046784973496197
413,spoleski,8,0,40826,1.9595355900651545,0.0
414,wiecki,20,1,98703,2.0262808627903914,1.0131404313951957
415,toruski,68,1,109565,6.206361520558572,0.9127002236115548
416,tucholski,9,0,48322,1.8625056909896112,0.0
417,wbrzeski,1,0,34040,0.2937720329024677,0.0
418,wocawski,10,0,85646,1.1675968521588864,0.0
419,niski,25,0,69886,3.5772543857138768,0.0
461,Bydgoszcz,163,8,344091,4.73711895981005,2.3249663606429696
462,Grudzidz,32,2,93564,3.420118849130007,2.1375742807062545
463,Toru,120,2,198613,6.041900580525947,1.006983430087658
464,Wocawek,17,0,108561,1.565939886331187,0.0
601,bialski,225,2,109958,20.462358355008277,1.8188762982229578
602,bigorajski,174,4,100333,17.342250306479425,3.9867242083860748
603,chemski,90,1,77502,11.612603545714949,1.2902892828572166
604,hrubieszowski,30,0,62009,4.838007386024609,0.0
605,janowski,100,3,45142,22.152319347835718,6.645695804350716
606,krasnostawski,100,9,62552,15.986699066376776,14.388029159739096
607,kranicki,220,0,94531,23.272788820598535,0.0
608,lubartowski,122,1,87850,13.887307911212295,1.1383039271485487
609,lubelski,382,2,156493,24.41003750966497,1.2780124350609932
610,czyski,242,1,57218,42.29438288650425,1.7477017721695969
611,ukowski,115,1,106213,10.827299859715854,0.9415043356274656
612,opolski,80,0,58706,13.62722719994549,0.0
613,parczewski,73,5,34372,21.238217153497033,14.546724077737695
614,puawski,181,1,112384,16.105495444191344,0.8898063781321184
615,radzyski,74,0,58298,12.69340286116162,0.0
616,rycki,28,2,55530,5.042319466954798,3.6016567621105704
617,widnicki,130,2,71432,18.199126441930787,2.7998656064508904
618,tomaszowski,31,0,81944,3.7830713658107977,0.0
619,wodawski,71,1,37989,18.68962067967043,2.632340940798652
620,zamojski,45,3,105354,4.271313856142149,2.847542570761433
661,Biaa Podlaska,140,1,56942,24.586421270766742,1.7561729479119101
662,Chem,82,0,61135,13.412938578555655,0.0
663,Lublin,736,7,338586,21.737461088172576,2.067421570885979
664,Zamo,41,0,62785,6.530222186828064,0.0
801,gorzowski,21,0,72291,2.904925924388928,0.0
802,kronieski,11,0,54598,2.014725814132386,0.0
803,midzyrzecki,3,1,57100,0.5253940455341506,1.7513134851138352
804,nowosolski,12,0,85733,1.3996944000559879,0.0
805,subicki,17,0,46944,3.621336059986367,0.0
806,strzelecko-drezdenecki,8,0,48621,1.645379568499208,0.0
807,sulciski,35,0,35000,10.0,0.0
808,wiebodziski,33,0,55520,5.943804034582133,0.0
809,zielonogrski,24,0,75673,3.171540708046463,0.0
810,agaski,29,1,78148,3.7109075088294006,1.27962327890669
811,arski,24,0,95423,2.515116900537606,0.0
812,wschowski,10,0,38613,2.5898013622355167,0.0
861,Gorzw Wielkopolski,36,1,122589,2.9366419499302547,0.8157338749806263
862,Zielona Gra,79,1,140892,5.6071317037163215,0.7097635067995344
1001,bechatowski,71,3,112443,6.314310361694369,2.668018462687762
1002,kutnowski,52,1,95516,5.444114075128774,1.0469450144478412
1003,aski,19,1,49736,3.820170500241274,2.0106160527585653
1004,czycki,6,1,49286,1.2173842470478433,2.0289737450797385
1005,owicki,23,0,77614,2.96338289483856,0.0
1006,dzki wschodni,54,0,72565,7.441604079101496,0.0
1007,opoczyski,8,0,75524,1.059265928711403,0.0
1008,pabianicki,32,1,118941,2.6904095307757627,0.8407529783674259
1009,pajczaski,9,0,50952,1.7663683466792275,0.0
1010,piotrkowski,35,0,91208,3.8373826857293216,0.0
1011,poddbicki,20,2,40906,4.889258299515964,4.889258299515963
1012,radomszczaski,65,5,111696,5.819366852886406,4.47643604068185
1013,rawski,17,0,48385,3.513485584375323,0.0
1014,sieradzki,47,0,116918,4.019911390889342,0.0
1015,skierniewicki,18,0,38173,4.715374741309303,0.0
1016,tomaszowski,81,2,115735,6.998747137858038,1.7280857130513674
1017,wieluski,10,1,75736,1.3203760430970741,1.3203760430970741
1018,wieruszowski,8,0,41984,1.9054878048780488,0.0
1019,zduskowolski,47,0,66064,7.114313393073383,0.0
1020,zgierski,107,4,165850,6.451612903225806,2.411817907747965
1021,brzeziski,16,0,30648,5.2205690420255815,0.0
1061,d,530,7,672185,7.884734113376526,1.041379977238409
1062,Piotrkw Trybunalski,19,0,72250,2.629757785467128,0.0
1063,Skierniewice,13,0,47655,2.727940404994229,0.0
1201,bocheski,35,0,106947,3.2726490691651007,0.0
1202,brzeski,73,1,93035,7.846509378191004,1.074864298382329
1203,chrzanowski,42,0,123664,3.3962996506663217,0.0
1204,dbrowski,21,2,58977,3.5607101073299763,3.391152483171406
1205,gorlicki,58,0,108487,5.346262685851761,0.0
1206,krakowski,135,0,281440,4.796759522455941,0.0
1207,limanowski,40,0,132148,3.026909222992402,0.0
1208,miechowski,13,0,48464,2.6824034334763946,0.0
1209,mylenicki,38,1,127972,2.9693995561529087,0.7814209358297127
1210,nowosdecki,103,1,217071,4.744991270137421,0.4606787640910117
1211,nowotarski,124,1,191646,6.470262880519291,0.5217953935902654
1212,olkuski,53,1,110471,4.797639199427905,0.9052149432882839
1213,owicimski,24,0,152687,1.5718430514713104,0.0
1214,proszowicki,19,0,43057,4.4127551849873425,0.0
1215,suski,16,0,83761,1.91019686966488,0.0
1216,tarnowski,61,1,201230,3.0313571535059385,0.49694379565671126
1217,tatrzaski,93,2,68049,13.666622580787374,2.9390586195241664
1218,wadowicki,53,1,159662,3.3195124700930716,0.6263231075647305
1219,wielicki,54,3,130651,4.133148617308708,2.2961936762826154
1261,Krakw,556,12,779966,7.12851585838357,1.5385286025288283
1262,Nowy Scz,43,4,83558,5.146126044184877,4.787093994590584
1263,Tarnw,27,0,107498,2.5116746358071778,0.0
1401,biaobrzeski,4,0,33329,1.2001560202826367,0.0
1402,ciechanowski,21,0,88891,2.362443891957566,0.0
1403,garwoliski,33,1,108634,3.0377229964836054,0.9205221201465471
1404,gostyniski,18,0,44581,4.037594490926628,0.0
1405,grodziski,52,0,97462,5.335412776261518,0.0
1406,grjecki,62,1,97979,6.327886587942314,1.0206268690229539
1407,kozienicki,26,1,59592,4.363001745200698,1.6780775943079607
1408,legionowski,38,0,119882,3.1697836205602177,0.0
1409,lipski,23,0,33598,6.845645574141318,0.0
1410,osicki,33,1,30556,10.799842911375833,3.272679670113889
1411,makowski,20,1,44438,4.500652594626221,2.2503262973131104
1412,miski,72,2,154951,4.646630225038884,1.2907306180663565
1413,mawski,13,1,72269,1.7988349084669775,1.3837191603592134
1414,nowodworski,28,1,79265,3.5324544250299628,1.2615908660821296
1415,ostrocki,34,1,88497,3.8419381447958685,1.1299818072929027
1416,ostrowski,16,1,71790,2.2287226633235826,1.392951664577239
1417,otwocki,67,0,124283,5.390922330487677,0.0
1418,piaseczyski,160,2,190606,8.394279298657965,1.0492849123322456
1419,pocki,40,0,110742,3.6119990608802444,0.0
1420,poski,27,0,86671,3.115228853941918,0.0
1421,pruszkowski,153,1,166679,9.17932073026596,0.5999556032853568
1422,przasnyski,4,0,52101,0.7677395827335367,0.0
1423,przysuski,8,0,41126,1.9452414530953654,0.0
1424,putuski,7,0,51741,1.3528922904466476,0.0
1425,radomski,87,1,152190,5.716538537354623,0.6570733950982325
1426,siedlecki,104,4,81385,12.778767586164527,4.91491061006328
1427,sierpecki,10,0,51534,1.9404664881437497,0.0
1428,sochaczewski,60,2,84804,7.075137965190321,2.3583793217301072
1429,sokoowski,24,0,53294,4.503321199384546,0.0
1430,szydowiecki,20,0,39340,5.083884087442806,0.0
1432,warszawski zachodni,103,0,120144,8.57304567851911,0.0
1433,wgrowski,134,1,65410,20.486164195077208,1.5288182235132244
1434,woomiski,147,1,252408,5.823904155177332,0.3961839561345124
1435,wyszkowski,20,0,74210,2.6950545748551407,0.0
1436,zwoleski,27,2,35875,7.526132404181184,5.574912891986062
1437,uromiski,3,0,38202,0.785299198994817,0.0
1438,yrardowski,24,0,75370,3.1842908318959795,0.0
1461,Ostroka,25,0,51656,4.839708843115998,0.0
1462,Pock,56,0,118268,4.7350086244799945,0.0
1463,Radom,124,1,209296,5.924623499732436,0.47779221772035774
1464,Siedlce,102,2,77813,13.108349504581497,2.57026460874147
1465,Warszawa,1448,15,1794166,8.070602162787612,0.8360430417252361
1601,brzeski,30,4,89282,3.3601397818149237,4.480186375753232
1602,gubczycki,14,0,45015,3.1100744196378987,0.0
1603,kdzierzysko-kozielski,39,0,93001,4.193503295663487,0.0
1604,kluczborski,7,1,65026,1.0764924799311044,1.537846399901578
1605,krapkowicki,48,2,63196,7.595417431483006,3.1647572631179184
1606,namysowski,8,0,42543,1.8804503678631033,0.0
1607,nyski,35,0,134864,2.595207023371693,0.0
1608,oleski,15,0,63788,2.351539474509312,0.0
1609,opolski,42,0,123532,3.3999287633973387,0.0
1610,prudnicki,8,0,54765,1.460786998995709,0.0
1611,strzelecki,20,0,73923,2.7055179037647283,0.0
1661,Opole,73,4,127839,5.7103074961474976,3.1289356143273963
1801,bieszczadzki,10,1,21489,4.653543673507376,4.653543673507376
1802,brzozowski,40,3,65373,6.11873403392838,4.589050525446285
1803,dbicki,72,2,134991,5.333688912594173,1.4815802534983815
1804,jarosawski,36,1,119727,3.006840562279185,0.8352334895219958
1805,jasielski,60,0,112863,5.316179793200606,0.0
1806,kolbuszowski,29,2,62039,4.674478956785248,3.2237785908863783
1807,kronieski,57,1,111905,5.09360618381663,0.8936151199678298
1808,leajski,78,5,68996,11.305003188590643,7.246796915763233
1809,lubaczowski,29,0,54711,5.300579408162893,0.0
1810,acucki,54,1,81226,6.648117597813507,1.231132888483983
1811,mielecki,48,1,136441,3.518004118996489,0.7329175247909353
1812,niaski,149,0,66221,22.50041527612087,0.0
1813,przemyski,49,0,73919,6.628877555161731,0.0
1814,przeworski,49,0,77979,6.283743059028713,0.0
1815,ropczycko-sdziszowski,30,0,74573,4.022903731913695,0.0
1816,rzeszowski,127,3,170550,7.446496628554676,1.7590149516270888
1817,sanocki,34,1,93818,3.6240380310814553,1.0658935385533692
1818,stalowowolski,174,2,105431,16.50368487446766,1.8969752729273173
1819,strzyowski,9,0,61161,1.4715259724334135,0.0
1820,tarnobrzeski,23,0,52720,4.362670713201821,0.0
1821,leski,8,0,26375,3.0331753554502368,0.0
1861,Krosno,30,0,45944,6.52968831621104,0.0
1862,Przemyl,36,0,59779,6.022181702604593,0.0
1863,Rzeszw,175,1,196638,8.899602314913698,0.5085487037093542
1864,Tarnobrzeg,14,1,46360,3.019844693701467,2.1570319240724762
2001,augustowski,64,0,57651,11.101281851138749,0.0
2002,biaostocki,205,2,150845,13.590109052338494,1.3258642977891213
2003,bielski,92,0,53695,17.133811341838157,0.0
2004,grajewski,22,0,46792,4.701658403145837,0.0
2005,hajnowski,64,2,41991,15.241361244076112,4.762925388773785
2006,kolneski,9,0,37887,2.375484994853116,0.0
2007,omyski,15,2,50819,2.9516519412030937,3.9355359216041244
2008,moniecki,40,0,40070,9.982530571499876,0.0
2009,sejneski,31,1,19689,15.744832139773477,5.078978109604347
2010,siemiatycki,56,0,43618,12.838736301526891,0.0
2011,soklski,97,2,65883,14.72306968413703,3.035684470956089
2012,suwalski,24,1,35577,6.74593136014841,2.810804733395171
2013,wysokomazowiecki,78,2,56408,13.827825840306339,3.545596369309318
2014,zambrowski,14,0,43191,3.2414160357481885,0.0
2061,Biaystok,442,3,296958,14.884259726964757,1.0102438728709109
2062,oma,22,0,62573,3.5158934364662073,0.0
2063,Suwaki,46,1,69639,6.605494047875472,1.4359769669294504
2201,bytowski,30,1,79114,3.7919963596834947,1.263998786561165
2202,chojnicki,24,0,97661,2.4574804681500293,0.0
2203,czuchowski,5,0,55835,0.8954956568460644,0.0
2204,gdaski,93,2,120327,7.7289386422000055,1.6621373424086032
2205,kartuski,46,0,141892,3.241902291883968,0.0
2206,kocierski,46,0,72923,6.308023531670392,0.0
2207,kwidzyski,9,0,82963,1.084820944276364,0.0
2208,lborski,14,0,66083,2.118547886748483,0.0
2209,malborski,25,1,63204,3.9554458578570975,1.582178343142839
2210,nowodworski,3,0,35438,0.8465489023082566,0.0
2211,pucki,38,0,87568,4.339484743285219,0.0
2212,supski,78,2,98832,7.8921806702282655,2.023636069289299
2213,starogardzki,31,0,128210,2.4179081194914596,0.0
2214,tczewski,64,0,115220,5.554591216802638,0.0
2215,wejherowski,44,0,219457,2.0049485776256852,0.0
2216,sztumski,7,0,41104,1.7029972752043596,0.0
2261,Gdask,271,4,470805,5.756098597083718,0.849608649016047
2262,Gdynia,190,1,244969,7.756083422800436,0.4082149169894966
2263,Supsk,43,1,89780,4.7894854087770105,1.1138338159946537
2264,Sopot,20,0,35286,5.667970299835629,0.0
2401,bdziski,33,0,147259,2.2409496193781027,0.0
2402,bielski,23,0,166348,1.3826436145910983,0.0
2403,cieszyski,36,0,177536,2.027757750540735,0.0
2404,czstochowski,30,0,134106,2.2370363742114447,0.0
2405,gliwicki,27,0,115416,2.3393636930754833,0.0
2406,kobucki,10,0,84330,1.1858176212498517,0.0
2407,lubliniecki,17,0,76109,2.233638597274961,0.0
2408,mikoowski,29,1,99202,2.9233281587064774,1.008044192657406
2409,myszkowski,42,1,70486,5.958630082569588,1.4187214482308543
2410,pszczyski,21,0,111814,1.8781190190852668,0.0
2411,raciborski,45,1,107410,4.189554045247183,0.9310120100549296
2412,rybnicki,15,0,78166,1.9189929125195098,0.0
2413,tarnogrski,40,0,140780,2.841312686461145,0.0
2414,bierusko-ldziski,14,0,59823,2.340237032579443,0.0
2415,wodzisawski,21,2,156579,1.3411760197727665,1.2773104950216823
2416,zawierciaski,28,0,116672,2.3998902907295667,0.0
2417,ywiecki,24,2,152199,1.5768828967338813,1.3140690806115678
2461,Bielsko-Biaa,32,1,169756,1.8850585546313534,0.5890807983222979
2462,Bytom,44,0,163255,2.695170132614621,0.0
2463,Chorzw,29,0,106846,2.714186773487075,0.0
2464,Czstochowa,54,1,217530,2.4824162184526273,0.45970670712085693
2465,Dbrowa Grnicza,76,3,118285,6.425159572219639,2.5362471995603837
2466,Gliwice,62,0,177049,3.501855418556445,0.0
2467,Jastrzbie-Zdrj,20,0,88038,2.2717462913741793,0.0
2468,Jaworzno,39,1,90368,4.315686968838527,1.106586402266289
2469,Katowice,120,4,290553,4.130055445994363,1.3766851486647875
2470,Mysowice,16,0,74559,2.1459515283198543,0.0
2471,Piekary lskie,26,0,54702,4.753025483528939,0.0
2472,Ruda lska,52,0,136423,3.8116739845920407,0.0
2473,Rybnik,32,1,137128,2.333586138498337,0.7292456682807305
2474,Siemianowice lskie,23,0,66270,3.470650369699713,0.0
2475,Sosnowiec,88,0,197586,4.453756845120606,0.0
2476,witochowice,10,0,49108,2.0363280931823735,0.0
2477,Tychy,16,0,126871,1.2611235034010924,0.0
2478,Zabrze,73,0,170924,4.270904027521004,0.0
2479,ory,9,1,62844,1.4321176245942333,1.5912418051047037
2601,buski,10,1,71125,1.40597539543058,1.40597539543058
2602,jdrzejowski,13,3,84908,1.531068921656381,3.533235973053187
2603,kazimierski,16,2,33340,4.799040191961608,5.9988002399520095
2604,kielecki,40,0,210992,1.8958064760749223,0.0
2605,konecki,10,1,79072,1.264670174018616,1.264670174018616
2606,opatowski,9,0,51525,1.7467248908296942,0.0
2607,ostrowiecki,19,2,107711,1.763979537837361,1.8568205661445907
2608,piczowski,3,0,38487,0.7794839816041781,0.0
2609,sandomierski,29,0,76346,3.798496319388049,0.0
2610,skaryski,48,0,73163,6.560693246586389,0.0
2611,starachowicki,36,6,88549,4.065545630103107,6.775909383505177
2612,staszowski,17,0,71250,2.3859649122807016,0.0
2613,woszczowski,4,0,44743,0.8939945913327224,0.0
2661,Kielce,40,2,193415,2.068091926686141,1.0340459633430705
2801,bartoszycki,16,0,56562,2.828754287330717,0.0
2802,braniewski,9,0,40776,2.207180694526192,0.0
2803,dziadowski,6,0,64768,0.9263833992094861,0.0
2804,elblski,91,1,56986,15.968834450566806,1.7548169725897587
2805,ecki,62,0,91395,6.783740904863504,0.0
2806,giycki,28,1,56227,4.979813968378181,1.7785049887064934
2807,iawski,13,1,92644,1.4032209317386988,1.079400716722076
2808,ktrzyski,9,0,61772,1.456970795829826,0.0
2809,lidzbarski,23,0,40852,5.630079310682464,0.0
2810,mrgowski,43,0,49439,8.697586925301886,0.0
2811,nidzicki,10,1,32638,3.0639132299773273,3.0639132299773273
2812,nowomiejski,7,0,43721,1.601061274902221,0.0
2813,olecki,23,0,33993,6.766098902715266,0.0
2814,olsztyski,85,1,127544,6.664366806749043,0.7840431537351815
2815,ostrdzki,31,0,103492,2.995400610675221,0.0
2816,piski,20,0,55833,3.5821109379757488,0.0
2817,szczycieski,27,2,69089,3.9080027211278208,2.8948168304650523
2818,godapski,9,0,26489,3.397636754879384,0.0
2819,wgorzewski,5,0,22444,2.2277668864729994,0.0
2861,Elblg,53,0,118582,4.469481034221046,0.0
2862,Olsztyn,177,0,171249,10.335826778550532,0.0
3001,chodzieski,10,1,46824,2.1356569280710747,2.1356569280710747
3002,czarnkowsko-trzcianecki,16,1,86590,1.8477884282249681,1.1548677676406052
3003,gnienieski,12,0,145068,0.8271982794275788,0.0
3004,gostyski,7,1,75732,0.9243120477473195,1.3204457824961708
3005,grodziski,16,0,51929,3.081130004429124,0.0
3006,jarociski,7,0,71425,0.9800490024501225,0.0
3007,kaliski,14,0,82911,1.6885576099673143,0.0
3008,kpiski,3,0,56298,0.5328786102525844,0.0
3009,kolski,22,0,86108,2.554931016862545,0.0
3010,koniski,44,0,129904,3.387116639980293,0.0
3011,kociaski,24,0,78866,3.0431364593107295,0.0
3012,krotoszyski,10,0,76998,1.2987350320787554,0.0
3013,leszczyski,12,0,57911,2.072145188306194,0.0
3014,midzychodzki,11,0,36633,3.002757076952475,0.0
3015,nowotomyski,12,0,75576,1.5878056525881232,0.0
3016,obornicki,6,0,59821,1.0029922602430585,0.0
3017,ostrowski,29,0,161357,1.797257013950433,0.0
3018,ostrzeszowski,4,0,55265,0.7237853976296028,0.0
3019,pilski,22,0,135477,1.6238918783262104,0.0
3020,pleszewski,15,0,62763,2.3899431193537595,0.0
3021,poznaski,231,3,406590,5.6813989522614925,0.7378440197742197
3022,rawicki,9,0,60188,1.4953146806672426,0.0
3023,supecki,5,0,58959,0.8480469478790347,0.0
3024,szamotulski,10,0,91745,1.0899776554580631,0.0
3025,redzki,48,0,59149,8.115099156367817,0.0
3026,remski,22,1,61492,3.577701164379106,1.6262278019905028
3027,turecki,24,0,83599,2.8708477374131265,0.0
3028,wgrowiecki,11,1,70096,1.5692764209084684,1.4266149280986076
3029,wolsztyski,14,0,57431,2.437707858125403,0.0
3030,wrzesiski,19,1,78037,2.43474249394518,1.281443417865884
3031,zotowski,15,0,69161,2.168852387906479,0.0
3061,Kalisz,11,0,99106,1.1099227090186266,0.0
3062,Konin,26,1,72539,3.5842788017480256,1.3785687699030866
3063,Leszno,9,0,62854,1.431889776306997,0.0
3064,Pozna,353,6,532048,6.6347397227317835,1.1277177998977534
3201,biaogardzki,22,0,47304,4.650769490952139,0.0
3202,choszczeski,23,0,47970,4.794663331248697,0.0
3203,drawski,35,2,56482,6.196664424064303,3.5409510994653166
3204,goleniowski,91,0,82310,11.055764791641355,0.0
3205,gryficki,51,1,59844,8.522157609785442,1.6710112960363612
3206,gryfiski,61,0,81289,7.504090344327031,0.0
3207,kamieski,54,1,46692,11.56515034695451,2.14169450869528
3208,koobrzeski,129,1,79300,16.26733921815889,1.2610340479192939
3209,koszaliski,40,0,66505,6.014585369521089,0.0
3210,myliborski,29,0,65373,4.436082174598075,0.0
3211,policki,88,2,81584,10.786428711512063,2.451461070798196
3212,pyrzycki,11,0,39202,2.805979286771083,0.0
3213,sawieski,32,0,55777,5.7371317926744,0.0
3214,stargardzki,43,0,120132,3.579395997735824,0.0
3215,szczecinecki,35,0,77258,4.5302751818581894,0.0
3216,widwiski,14,0,46394,3.017631590291848,0.0
3217,waecki,15,0,52707,2.845921794069099,0.0
3218,obeski,16,1,36486,4.385243655100586,2.7407772844378666
3261,Koszalin,85,2,106235,8.001129571233585,1.8826187226431967
3262,Szczecin,562,5,398255,14.111561687863304,1.2554770184931765
3263,winoujcie,35,0,40948,8.547426003712026,0.0
